Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label
109,Positive,place true best part something mid really frequent go night will fat sauced food good cheap bar portions ahi spicy mayo salad chicken goat know good cocktail ,place true best part really ,
1,Negative,ok goat tomato spinach omelet actually hummus expensive pretty whole fine wrong plain though clearly capable ,ok goat spinach hummus whole ,
19,Positive,tapas dishes happy broth cooked briney order servings putting bread order next time cooked divine garlic bread order well ham higher level mozzarella sticks even better much delicious second piece serrano combination ham toast tomato helped definitely love fried potato cut sweet bread order fried tapas dish fried starch lot flavor pass home fried probably element fill shrimp garlic sauce best night us garlic garlic undertones broth notes elevates little winner meatballs friend meatballs awful tapas sangria reminded wine probably lemon kept mistaking orange sangria taste hints probably buzz since venieros across street us night ton sassy eachother jar hot little crack actually hunt find fill ended around great come tapas back eatings ,tapas dishes happy broth cooked ,
39,Negative,fun first steak three without two yeh well past one leave bad ,first steak three two past ,
78,Positive,wun wiz minute philly cheesesteak although think street exact entertaining frankly px watery baguette pieces makes solid ground ,philly although think street exact ,
51,Negative,flashy close trust philly cheesesteak trap neon ranked city câ one gonna make watch movies rambo right ,trust cheesesteak trap one make ,
21,Positive,flamenco fun service really think croquettas best stuffed peppers longer take ,flamenco fun service really think ,
570,Negative,rainy sunday told food okay kale spread leaves fresh champagne sit everywhere ,told food okay kale sit ,
0,Positive,many things first draw done really plenty space sit huge perfect ambience responsive absolutely nothing complain around also quick ,really plenty space perfect absolutely ,
29,Negative,past definitely missing cheesesteak oil oil onto negative feel robbed coming ,past cheesesteak oil onto ,
7,Positive,kidney three different specials pretty chinese food ct tripe good definitely fried sucks intestine got brown care much will update ,different specials pretty definitely fried ,
3,Negative,well pigging enough ruin food will frozen people used better edible ,food will better edible ,
93,Positive,around orchestra center tables reservation tags since tables seated hear preconcert place talk time well play uploaded photos curry things choose meat beef duck chicken improved kaffir end paste curries food kind came without tasted chicken indeed close together cool crowd ,since place talk time well ,
52,Negative,lives went brother foodies san francisco go trap aura due cheesesteak go right one split whiz one aside bread completely bland hear really ,went go trap due cheesesteak ,
100,Positive,sandwich special wanted try focaccia topped fried drizzle best please put great usual ,special try topped fried best ,
35,Negative,famous steak american onions huge order warned cheesesteak chopped cheese choice fame quality deteriorated went better great called better got sign rude mention bother opinion go hard food product money think brains ,famous steak onions huge order ,
4,Positive,yet fair thursday forward quesidillas tasty food watch going restaurant week ,yet fair forward tasty ,
64,Negative,feedback given disappointing going bit think one line much shorter one really ,given disappointing going one much ,
18,Positive,authentic tapas cool relaxed atmosphere drink spanish ive three gimmick friends day week ,tapas relaxed drink spanish ive ,
54,Negative,seen america never bothered waiting anything force original beef sandwich better ,never waiting anything sandwich better ,
5,Positive,hungry near bank inside employee pleasant tried chicken sub jalapeã os drink returning ,pleasant chicken sub drink ,
43,Negative,philly eaten place passage experience anything magical watering woman orders ordering particularly felt tried whose accents european whole rude customers never good far american wit onions cheese steak good think put absorbed grill short tried somewhere else time steak ,experience anything orders ordering tried ,
26,Positive,bloody wanted early let owner urgently octopus house fried cod crostinis plate octopus sangria make every day fruit white pitcher waiter best pitcher hehe want red ,bloody early owner fried sangria ,
30,Negative,everyone live philadelphia real always nasty steaks best cheesesteaks philly will ,everyone live real always steaks ,
